timestamp, x, y, z, qw, qx, qy, qz
69.2,0.19962053158099438,0.07824907495763458,-0.0642183185397356,0.0001811175416449959,4.370587708898552e-05,-2.818146035565936e-06,0.999999982639145
69.3,0.199600128160398,0.076135825992716,-0.06447407806445325,0.00017611147990864414,2.581408499326209e-05,-2.43193225082472e-06,0.9999999841562326
69.4,0.1995720236923119,0.07398832746914664,-0.06472285497431972,0.00017104247036911935,1.231192551520167e-05,-2.0895348482829923e-06,0.9999999852942617
69.5,0.1995394848911615,0.07180760049303278,-0.06496282332509984,0.00016591308355617701,2.393748215272437e-06,-1.7880089829040506e-06,0.9999999862319607
69.6,0.19950496743280394,0.06959467850126089,-0.06519250076353926,0.00016072571058097927,-4.640238423932658e-06,-1.5241450937482083e-06,0.9999999870716955
69.7,0.19947026607969456,0.0673506061962433,-0.06541070441806125,0.00015548258963045736,-9.389176144926815e-06,-1.294609836911066e-06,0.9999999878676659
69.8,0.19943664477264028,0.06507643865005687,-0.0656165085802919,0.00015018583140748948,-1.2359026137235317e-05,-1.0960584074708046e-06,0.9999999886451345
69.9,0.19940494779990622,0.06277324055085012,-0.06580920537304617,0.00014483744302125595,-1.397133565926685e-05,-9.252213527829836e-07,0.9999999894130304
70.0,0.19937569352768675,0.06044208556639934,-0.06598826907981434,0.00013943935004221049,-1.4572579177110192e-05,-7.789691411626224e-07,0.9999999901718504
70.1,0.19934915238329173,0.05808405580221424,-0.06615332443548207,0.00013399341657545282,-1.4443546408841119e-05,-6.543577382769387e-07,0.99999999091836
70.2,0.1993254108658013,0.05570024133421158,-0.06630411891442499,0.00012850146329715687,-1.380840635434106e-05,-5.486583070415789e-07,0.9999999916482003
70.3,0.1993044233518628,0.05329173979862759,-0.06644049887522195,0.00012296528345903578,-1.284320012543607e-05,-4.593739254012511e-07,0.9999999923571901
70.4,0.19928605339383543,0.05085965602435174,-0.06656238930808497,0.00011738665690507183,-1.1683611360035946e-05,-3.8424594247205677e-07,0.9999999930418592
70.5,0.19927010609506565,0.04840510169522822,-0.06666977686563645,0.00011176736217323878,-1.0431935895334508e-05,-3.2125229241138267e-07,0.9999999936995642
70.6,0.19925635300892472,0.045929195032000145,-0.06676269582685343,0.00010610918677462804,-9.163226347908041e-06,-2.685997764924541e-07,0.9999999943284018
70.7,0.19924455085742648,0.04343306048548847,-0.06684121663685649,0.00010041393575715686,-7.930625932897968e-06,-2.2471202147759826e-07,0.9999999949270482
70.8,0.19923445521077618,0.040917828434288456,-0.06690543667460765,9.468343867260612e-05,-6.7699323714814e-06,-1.8821453652482826e-07,0.9999999954945895
70.9,0.19922583011809453,0.03838463488172563,-0.06695547292108177,8.89195550733705e-05,-5.7034497328422335e-06,-1.5791802812313066e-07,0.9999999960303793
71.0,0.1992184545363133,0.035834621148079684,-0.06699145622689741,8.31241786703014e-05,-4.74319574702563e-06,-1.3280089679709913e-07,0.9999999965339278
71.1,0.19921212627185853,0.03326893355513931,-0.06701352690886894,7.729924028558568e-05,-3.8935363357842825e-06,-1.1199163216088262e-07,0.9999999970048277
71.2,0.19920666403013437,0.03068872310105936,-0.06702183143553345,7.144670973395189e-05,-3.153319325965912e-06,-9.475164458118632e-08,0.9999999974427076
71.3,0.19920190806127924,0.02809514512420031,-0.0670165199934208,6.556859676327471e-05,-2.5175767255831847e-06,-8.045892101932806e-08,0.9999999978472073
71.4,0.19919771979773543,0.025489358955254608,-0.066997744754275,5.9666951180636196e-05,-1.9788604969601505e-06,-6.859276784586981e-08,0.9999999982179673
71.5,0.19919398079895206,0.022872527557412023,-0.06696565869151846,5.374386228381116e-05,-1.528271182479438e-06,-5.8719802151252134e-08,0.9999999985546292
71.6,0.19919059125047697,0.020245817154704242,-0.0669204148185243,4.7801457710296875e-05,-1.1562325792787335e-06,-5.048127273348416e-08,0.9999999988568407
71.7,0.19918746820752772,0.01761039684893994,-0.06686216574366714,4.184190180741681e-05,-8.530593281661642e-07,-4.358172985820897e-08,0.9999999991242629
71.8,0.1991845437259711,0.014967438225853297,-0.06679106345643485,3.5867393618001184e-05,-6.093580717399392e-07,-3.777901637972721e-08,0.9999999993565787
71.9,0.1991817629851504,0.01231811495122838,-0.06670725927589112,2.9880164566116016e-05,-4.162969467000832e-07,-3.2875519402257096e-08,0.9999999995535007
